age,sex,job,saving_accounts,checking_account,credit_amount,duration,purpose,marital_status,education_level,number_of_dependents,income,employment_status,existing_loans_count,credit_history_length,previous_defaults,credit_score,installment_rate,loan_type,interest_rate,collateral,default,loan_eligibility
38,male,unskilled,little,,18113,,radio/TV,married,high school,1,118469,self-employed,0,0,0,452,0.01,personal,16.98,guarantor,bad,not eligible
31,male,self-employed,little,little,48913,21,radio/TV,single,high school,0,79080,employed,2,8,0,740,0.03,car,14.7,none,bad,not eligible
19,female,management,little,moderate,,37,business,widowed,graduate,0,95697,self-employed,0,,0,620,0.01,education,14.32,vehicle,bad,not eligible
28,,skilled,quite rich,little,9445,28,domestic appliances,married,graduate,1,28376,,0,20,0,375,0.01,personal,,none,bad,not eligible
68,male,skilled,little,little,29918,39,furniture,single,postgraduate,2,139942,self-employed,3,13,0,679,0.01,car,7.38,none,bad,not eligible
56,female,skilled,moderate,little,17571,21,,single,graduate,1,,employed,1,22,0,,0.01,business,7.55,none,bad,not eligible
55,female,skilled,little,little,47122,39,radio/TV,married,graduate,1,70854,employed,2,9,0,425,0.02,personal,7.84,property,bad,not eligible
51,female,skilled,rich,moderate,17630,38,repairs,single,postgraduate,0,97936,employed,1,12,0,499,0,education,11.35,none,good,eligible
,female,skilled,little,moderate,21221,48,education,single,graduate,0,80455,unemployed,0,12,,524,0.01,business,18.11,vehicle,bad,not eligible
67,male,skilled,little,moderate,3212,69,repairs,married,high school,4,126521,employed,0,25,0,491,0,,18.22,,bad,not eligible
51,female,unskilled,little,,17591,23,business,married,high school,1,87934,employed,4,21,0,821,0.01,business,13.86,none,bad,not eligible
35,male,skilled,moderate,little,16357,66,education,married,graduate,1,98904,unemployed,0,,0,545,0,business,14.87,none,bad,not eligible
,male,management,moderate,little,41894,25,domestic appliances,single,graduate,2,28167,self-employed,0,26,0,711,0.06,mortgage,18.47,none,bad,not eligible
32,male,skilled,moderate,little,46336,16,repairs,married,high school,2,,retired,1,7,0,823,0.04,education,14.36,none,bad,not eligible
44,male,management,moderate,little,47987,51,domestic appliances,,high school,0,27568,employed,2,26,0,648,0.03,car,8.45,none,bad,not eligible
68,male,self-employed,little,rich,34801,69,repairs,single,high school,0,82369,employed,1,6,0,389,0.01,personal,15.57,guarantor,bad,not eligible
51,female,,moderate,moderate,17053,33,education,married,graduate,0,69657,employed,4,24,0,761,0.01,car,16.55,vehicle,good,eligible
69,female,,moderate,,17904,53,domestic appliances,divorced,,3,10571,,0,16,0,591,0.03,mortgage,14.53,guarantor,bad,not eligible
55,male,skilled,little,little,7593,40,radio/TV,married,high school,0,30122,self-employed,1,7,,590,0.01,business,9.1,none,bad,not eligible
50,male,self-employed,little,little,13656,13,business,married,graduate,1,141655,retired,1,3,0,668,0.01,personal,11,none,bad,not eligible
41,female,self-employed,little,little,14285,27,education,single,postgraduate,2,,self-employed,1,6,0,563,0,education,12.06,none,bad,not eligible
32,female,skilled,little,little,48859,29,repairs,married,high school,1,112874,self-employed,4,22,0,571,0.01,personal,7.18,property,bad,not eligible
47,male,,moderate,moderate,25771,71,radio/TV,married,graduate,1,38364,retired,0,19,0,368,0.01,personal,11.78,property,bad,not eligible
59,female,management,little,rich,15194,69,repairs,married,high school,2,81227,employed,0,23,0,443,0,,7.42,vehicle,bad,not eligible
,male,unskilled,little,moderate,36614,70,,widowed,postgraduate,0,85861,self-employed,1,28,0,355,0.01,business,12.49,none,bad,not eligible
34,male,management,little,little,4513,19,repairs,single,high school,0,99950,self-employed,1,27,,376,0,education,5.76,none,bad,not eligible
22,female,self-employed,rich,little,33299,30,radio/TV,single,phd,0,15126,employed,3,16,0,819,0.07,personal,19.23,none,bad,not eligible
46,male,skilled,,moderate,25252,8,domestic appliances,single,phd,1,102144,,0,4,0,609,0.03,mortgage,8.7,property,bad,not eligible
21,male,skilled,little,moderate,11656,10,domestic appliances,married,postgraduate,1,13762,employed,0,19,,389,,mortgage,12.01,property,bad,not eligible
27,female,skilled,little,moderate,,70,other,single,high school,2,12786,self-employed,0,3,1,675,0.01,business,5.49,none,bad,not eligible
34,female,skilled,little,rich,41145,59,other,married,graduate,2,77078,unemployed,0,18,0,493,0.01,personal,7.89,none,bad,not eligible
27,male,skilled,moderate,moderate,39438,24,business,single,high school,1,126363,,1,,0,636,0.01,business,15.4,vehicle,bad,not eligible
34,male,management,little,moderate,12578,59,repairs,married,postgraduate,0,88349,self-employed,2,20,0,805,0,personal,6.68,vehicle,bad,not eligible
37,male,self-employed,moderate,little,26578,15,,single,postgraduate,1,26294,employed,1,23,0,407,0.07,,14.42,none,bad,not eligible
41,female,self-employed,moderate,moderate,2815,21,furniture,divorced,phd,1,,self-employed,0,9,1,810,0,mortgage,5.03,none,good,eligible
,male,unskilled,,little,27720,51,radio/TV,married,graduate,0,132184,self-employed,0,5,0,620,0,car,11.98,property,bad,not eligible
51,male,management,little,little,32231,34,radio/TV,divorced,graduate,1,82459,retired,3,11,0,775,0.01,business,15.82,none,bad,not eligible
23,female,management,quite rich,moderate,33333,20,education,married,graduate,1,60209,employed,1,16,0,585,0.03,education,18.89,none,bad,not eligible
19,male,skilled,quite rich,little,12920,53,business,single,graduate,3,16938,self-employed,4,4,,650,0.01,mortgage,,property,bad,not eligible
30,male,unskilled,little,little,18812,16,car,single,graduate,1,132285,employed,2,21,0,544,0.01,education,,none,bad,not eligible
60,male,skilled,little,little,,39,other,widowed,graduate,0,114875,employed,1,8,1,661,,car,17.04,none,bad,not eligible
60,female,self-employed,little,little,40801,41,other,married,postgraduate,,145460,employed,0,8,0,635,0.01,personal,9.44,none,bad,not eligible
65,male,skilled,little,little,47472,35,domestic appliances,single,graduate,1,78163,unemployed,1,4,0,521,0.02,personal,18.12,none,bad,not eligible
28,male,management,little,little,15817,24,other,married,postgraduate,1,17247,retired,0,18,0,737,,education,,none,bad,not eligible
68,female,skilled,moderate,little,,,car,married,postgraduate,1,32575,employed,0,21,0,747,0.04,education,6.56,none,bad,not eligible
64,,management,moderate,little,17468,27,furniture,single,graduate,1,30146,self-employed,2,26,0,561,0.02,business,19.09,,bad,not eligible
40,male,unskilled,rich,rich,23354,41,,single,high school,3,32371,employed,1,,0,600,0.02,education,7.65,property,bad,eligible
33,male,skilled,little,little,5744,28,radio/TV,married,graduate,0,102243,,1,27,0,848,0,personal,12.06,guarantor,bad,not eligible
48,male,skilled,rich,little,31429,68,,single,graduate,1,117102,employed,1,10,1,533,0,education,,property,bad,not eligible
28,male,unskilled,little,moderate,41422,31,furniture,single,high school,0,61507,employed,,27,0,,,mortgage,14.38,none,bad,not eligible
33,male,management,quite rich,rich,24554,65,business,single,graduate,1,36875,retired,0,11,0,700,0.01,mortgage,14.97,none,bad,not eligible
25,male,unskilled,little,moderate,19088,10,furniture,single,phd,0,23792,self-employed,1,4,0,409,,personal,8.49,none,bad,not eligible
21,male,skilled,little,little,45090,59,domestic appliances,married,high school,1,93253,employed,2,7,0,807,0.01,education,10.29,none,bad,not eligible
57,female,skilled,quite rich,moderate,35160,43,other,,graduate,0,95928,self-employed,2,16,0,,0.01,,7.17,none,bad,not eligible
21,female,skilled,little,moderate,7518,67,car,single,postgraduate,1,94393,employed,1,7,0,798,,education,6.89,none,bad,not eligible
42,female,unskilled,moderate,moderate,11121,30,,divorced,graduate,1,81679,employed,,1,0,488,0,mortgage,17.38,property,good,eligible
20,female,unskilled,moderate,moderate,1473,17,education,single,graduate,1,29734,employed,1,22,0,484,0,personal,16.26,property,good,eligible
49,male,self-employed,moderate,rich,44102,27,business,single,graduate,1,57728,unemployed,3,17,0,612,0.03,business,11.64,property,bad,not eligible
,female,skilled,moderate,rich,39883,14,furniture,,graduate,0,,retired,0,18,0,753,0.03,mortgage,6.44,guarantor,bad,not eligible
44,male,management,quite rich,moderate,37597,34,radio/TV,married,high school,1,40766,employed,0,20,0,548,0.03,personal,,none,bad,not eligible
46,female,self-employed,little,,34745,49,car,married,phd,2,55240,employed,3,9,0,529,0.01,personal,9.42,guarantor,bad,not eligible
49,female,unskilled,moderate,moderate,25846,32,education,single,graduate,1,77310,employed,4,6,0,523,0.01,business,16.67,none,bad,not eligible
67,female,skilled,quite rich,moderate,40597,60,education,divorced,,3,125261,employed,1,8,,353,0.01,car,6.45,none,bad,not eligible
68,female,skilled,little,little,6944,10,furniture,married,graduate,2,47432,,1,11,0,335,0.01,business,11.77,guarantor,bad,not eligible
36,,self-employed,little,rich,25381,57,education,married,high school,1,130050,employed,1,11,0,781,0,business,,none,bad,not eligible
38,male,self-employed,quite rich,little,49653,18,repairs,single,phd,0,114775,self-employed,2,4,1,599,0.02,personal,19.79,none,bad,not eligible
22,male,skilled,moderate,little,25346,47,other,single,postgraduate,,32497,employed,2,10,0,588,0.02,car,6.34,none,bad,not eligible
35,male,management,moderate,rich,11906,20,furniture,married,high school,1,,employed,3,16,0,727,0.02,car,6.71,none,good,eligible
45,male,unskilled,little,little,40111,23,car,divorced,phd,0,122597,employed,2,14,0,610,0.01,education,19.82,,bad,not eligible
59,female,self-employed,moderate,little,25939,55,furniture,married,graduate,2,122039,employed,0,10,,757,0,business,11.08,none,bad,not eligible
39,female,self-employed,little,little,6472,7,education,single,graduate,0,85280,self-employed,1,14,0,350,0.01,business,16.16,guarantor,bad,not eligible
38,male,unskilled,moderate,little,48563,18,furniture,single,graduate,1,79199,employed,0,15,0,808,0.03,car,16.75,none,bad,not eligible
23,female,skilled,quite rich,little,38373,52,education,,high school,0,22463,employed,1,18,0,398,0.03,car,9.72,none,bad,not eligible
18,female,unskilled,little,little,,55,domestic appliances,married,graduate,0,98614,unemployed,2,20,0,641,0,car,8.21,none,bad,not eligible
22,female,skilled,,little,8202,17,business,single,high school,0,147232,retired,0,11,0,684,0,personal,9.14,none,bad,not eligible
58,female,management,rich,rich,19798,18,education,single,graduate,1,120840,self-employed,3,2,0,756,,personal,16.47,none,good,eligible
29,male,skilled,moderate,rich,22040,14,repairs,married,,0,37682,employed,2,7,0,603,0.04,personal,17.61,property,bad,eligible
43,female,unskilled,quite rich,little,32540,64,repairs,married,postgraduate,1,137776,employed,2,23,0,565,0,business,15.49,,bad,not eligible
,female,skilled,moderate,moderate,47404,50,repairs,married,graduate,2,115446,unemployed,2,10,1,325,0.01,car,,vehicle,bad,not eligible
51,male,self-employed,quite rich,little,31500,,repairs,married,high school,1,106401,self-employed,0,0,0,349,0.01,personal,8.94,vehicle,bad,not eligible
66,male,,little,little,30305,28,education,married,postgraduate,1,95065,employed,0,23,,664,0.01,education,11.38,none,bad,not eligible
31,female,skilled,little,little,3099,50,education,single,graduate,1,34527,employed,0,29,0,444,0,car,18.72,vehicle,bad,not eligible
43,male,unskilled,,rich,22600,28,business,,graduate,0,111019,,1,3,0,444,0.01,car,17.95,vehicle,bad,not eligible
62,female,self-employed,moderate,rich,31009,39,domestic appliances,widowed,high school,0,51313,employed,0,26,0,466,0.02,car,9.85,property,bad,not eligible
44,female,management,quite rich,little,35503,21,other,divorced,postgraduate,1,31777,employed,0,5,0,342,0.05,personal,9.92,none,bad,not eligible
26,male,skilled,little,little,19683,68,radio/TV,divorced,postgraduate,0,72382,employed,1,9,0,314,0,mortgage,,none,bad,not eligible
43,male,unskilled,moderate,little,38741,56,education,single,postgraduate,2,,employed,3,14,0,428,0.01,education,11.4,vehicle,bad,not eligible
64,female,unskilled,quite rich,moderate,518,,radio/TV,married,postgraduate,0,25390,employed,1,7,,357,0,education,13.59,none,good,not eligible
39,male,unskilled,moderate,moderate,1358,43,car,divorced,high school,1,67853,employed,1,13,0,353,0,mortgage,11.33,none,good,eligible
64,male,skilled,little,little,26492,61,domestic appliances,married,,3,27921,employed,1,1,0,523,0.02,education,,none,bad,not eligible
47,male,,moderate,moderate,33080,22,other,,graduate,0,42945,employed,1,23,0,432,0.04,personal,7.83,none,bad,not eligible
60,male,skilled,little,little,5880,44,furniture,widowed,high school,0,13243,self-employed,0,22,0,542,0.01,car,7.09,none,bad,not eligible
65,female,management,little,rich,36300,46,radio/TV,married,graduate,2,144738,employed,1,19,0,509,0.01,mortgage,5.17,none,bad,not eligible
34,male,skilled,rich,moderate,19415,53,repairs,single,graduate,2,29411,unemployed,0,27,0,541,0.01,car,9.21,none,bad,eligible
43,female,management,little,little,40739,33,domestic appliances,single,high school,0,93940,self-employed,0,20,0,682,0.01,education,7.57,none,bad,not eligible
53,male,management,little,moderate,37987,55,car,married,high school,0,33586,,1,5,0,,0.02,business,8.87,none,bad,not eligible
18,male,unskilled,quite rich,moderate,13443,6,domestic appliances,,high school,2,90168,employed,4,2,1,514,0.02,education,6.14,,good,eligible
25,female,skilled,little,little,38131,55,furniture,,graduate,0,77510,employed,1,1,0,543,0.01,education,10.12,vehicle,bad,not eligible
66,female,skilled,moderate,little,37306,24,education,married,high school,0,68862,unemployed,1,13,0,370,0.02,mortgage,12.8,none,bad,not eligible
52,male,unskilled,little,rich,19336,64,education,married,high school,1,11258,employed,2,17,0,389,0.03,car,19.17,none,bad,not eligible
69,male,skilled,little,little,36114,46,repairs,married,graduate,1,115356,employed,1,14,0,748,0.01,mortgage,10.21,none,bad,not eligible
32,male,skilled,little,little,41332,15,education,single,phd,1,29494,self-employed,1,3,0,,0.09,personal,5.47,vehicle,bad,not eligible
64,male,self-employed,little,little,11894,33,business,married,postgraduate,2,52202,self-employed,2,15,1,677,0.01,car,10.44,property,bad,not eligible
39,female,skilled,moderate,moderate,7122,39,business,single,high school,1,94673,employed,0,,1,383,0,personal,17.26,none,good,eligible
31,male,management,quite rich,moderate,45563,44,business,single,phd,1,127363,self-employed,1,11,0,724,0.01,personal,10.1,property,bad,not eligible
43,male,skilled,moderate,rich,25780,61,repairs,single,graduate,2,138839,employed,0,,0,785,0,mortgage,9.38,none,bad,not eligible
45,male,management,rich,moderate,12282,57,business,married,graduate,1,90544,unemployed,0,0,0,381,0,education,18.78,none,bad,eligible
40,female,skilled,little,little,1659,8,car,single,graduate,1,,employed,0,,0,485,0,business,9.46,none,bad,not eligible
31,female,,moderate,moderate,5126,28,other,single,graduate,1,141028,unemployed,1,8,0,388,0,education,19.55,none,good,eligible
41,male,skilled,moderate,moderate,23940,22,repairs,single,high school,0,108723,employed,4,11,1,459,0.01,education,17.49,property,bad,eligible
19,female,skilled,rich,little,36990,31,domestic appliances,married,graduate,0,,employed,0,29,0,669,0.01,car,15.26,none,bad,not eligible
62,male,skilled,little,little,12130,23,car,divorced,graduate,1,70589,employed,1,27,0,478,0.01,mortgage,13.97,,bad,not eligible
43,male,skilled,moderate,little,44542,51,education,divorced,graduate,0,88637,self-employed,0,4,0,504,0.01,car,8.37,property,bad,not eligible
31,female,,quite rich,moderate,48156,36,furniture,,,,137088,employed,2,16,0,830,0.01,business,15.96,none,bad,not eligible
68,female,unskilled,little,,7089,14,business,single,graduate,0,26238,employed,1,2,0,814,0.02,mortgage,10.21,property,bad,not eligible
24,female,unskilled,quite rich,moderate,48741,40,domestic appliances,single,graduate,0,21179,employed,2,26,0,415,0.06,education,12.28,none,bad,not eligible
20,male,management,little,rich,23733,65,furniture,married,graduate,1,40793,employed,0,5,0,646,0.01,personal,6.56,none,bad,not eligible
64,male,unskilled,quite rich,little,35511,68,repairs,single,phd,,18004,self-employed,1,28,0,700,,education,,property,bad,not eligible
40,female,unskilled,rich,rich,8677,,repairs,single,graduate,1,124462,retired,1,2,0,598,0,education,12.94,guarantor,good,not eligible
63,male,management,moderate,moderate,35028,53,car,married,postgraduate,0,31116,self-employed,1,26,0,809,0.02,mortgage,12.02,none,bad,not eligible
60,male,skilled,moderate,little,49470,66,business,single,postgraduate,1,134439,self-employed,0,21,0,407,0.01,education,10.15,none,bad,not eligible
64,male,skilled,little,rich,38710,29,repairs,single,graduate,0,96047,employed,1,5,0,351,0.01,business,12.08,none,bad,not eligible
62,female,unskilled,rich,little,26872,63,car,single,graduate,1,123917,employed,1,20,0,652,,education,16.17,vehicle,bad,not eligible
35,male,self-employed,moderate,rich,24008,69,car,single,high school,1,41856,employed,1,25,0,,0.01,personal,11.89,guarantor,bad,not eligible
55,male,management,little,,15465,35,radio/TV,married,phd,0,12488,retired,,12,0,511,0.04,mortgage,12.59,vehicle,bad,not eligible
52,female,management,moderate,moderate,3736,34,domestic appliances,widowed,high school,0,93432,unemployed,,20,0,408,0,business,15.52,none,good,eligible
68,male,skilled,moderate,moderate,16111,,car,single,graduate,1,81152,employed,1,24,0,669,0.01,mortgage,17.62,guarantor,good,not eligible
32,male,management,little,little,22782,44,education,single,high school,0,126331,employed,2,18,0,828,0,personal,12.9,none,bad,not eligible
42,male,unskilled,little,moderate,41503,60,repairs,divorced,graduate,1,42791,employed,1,14,0,539,0.02,car,19.22,none,bad,not eligible
54,male,unskilled,little,little,16329,33,car,divorced,,1,110641,employed,1,26,0,701,0,business,10.3,property,bad,not eligible
45,male,unskilled,moderate,moderate,9180,23,business,single,postgraduate,1,41027,self-employed,,25,1,479,0.01,personal,8.79,vehicle,good,eligible
27,male,skilled,moderate,moderate,11840,46,repairs,married,graduate,1,14726,employed,0,6,0,571,0.02,car,15.4,vehicle,good,eligible
56,,skilled,moderate,rich,31593,70,,single,phd,1,14133,self-employed,1,12,0,384,0.03,personal,,vehicle,bad,not eligible
34,male,skilled,quite rich,little,21607,51,other,married,graduate,2,76280,self-employed,2,19,,794,0.01,car,18.5,vehicle,bad,not eligible
56,female,unskilled,quite rich,,9648,65,repairs,widowed,high school,1,73044,self-employed,1,1,0,600,0,car,10.8,none,bad,not eligible
39,male,skilled,moderate,rich,43574,14,,married,high school,0,96097,self-employed,1,25,0,720,0.03,mortgage,15.47,vehicle,bad,not eligible
43,male,management,little,moderate,17999,50,car,married,graduate,0,100105,employed,1,18,0,509,0,education,13.55,none,bad,not eligible
61,male,skilled,moderate,little,18665,65,education,single,high school,2,147012,retired,0,18,0,607,0,education,5.82,none,bad,not eligible
42,,management,moderate,little,44286,33,car,married,graduate,0,33196,employed,1,2,0,361,0.04,personal,15.64,none,bad,not eligible
34,female,unskilled,moderate,little,25726,8,domestic appliances,married,high school,0,16217,self-employed,0,2,0,304,0.2,car,16.85,guarantor,bad,not eligible
30,male,management,moderate,moderate,18760,56,education,married,graduate,1,29433,employed,0,25,0,795,0.01,education,19.74,guarantor,bad,eligible
37,male,skilled,little,moderate,25416,13,furniture,single,,1,20934,employed,1,5,0,406,0.09,personal,11.24,none,bad,not eligible
42,female,unskilled,rich,rich,44410,64,radio/TV,married,graduate,0,64377,employed,0,12,0,822,0.01,personal,12.54,property,bad,not eligible
21,female,unskilled,little,little,30980,66,education,married,high school,0,36198,employed,5,13,1,773,0.01,business,18.12,none,bad,not eligible
27,female,skilled,moderate,little,32691,63,business,single,high school,1,54357,self-employed,0,5,1,686,0.01,mortgage,9.04,none,bad,not eligible
20,male,management,little,moderate,10046,17,other,single,graduate,1,57787,self-employed,1,26,0,478,,,7.84,none,bad,not eligible
58,female,skilled,rich,moderate,36544,14,radio/TV,single,high school,1,95275,employed,0,8,1,789,0.03,car,6.99,none,bad,not eligible
62,male,skilled,little,rich,22421,54,radio/TV,married,graduate,2,51113,employed,3,,0,365,0.01,education,19.67,none,bad,not eligible
35,male,,little,moderate,,22,car,married,,0,135182,self-employed,0,9,0,828,0.02,car,9.06,property,bad,not eligible
64,male,skilled,little,little,37440,59,education,married,high school,1,33792,employed,2,15,,686,0.02,,16.36,none,bad,not eligible
53,male,skilled,little,moderate,46451,49,domestic appliances,,graduate,1,117112,self-employed,1,22,0,686,0.01,education,11.75,property,bad,not eligible
64,male,skilled,little,rich,13336,37,repairs,divorced,graduate,1,82381,employed,1,14,0,635,,education,8.61,none,bad,not eligible
39,male,unskilled,moderate,little,9489,40,radio/TV,married,high school,0,147882,unemployed,2,11,0,350,0,,18.7,vehicle,bad,not eligible
,female,skilled,moderate,little,14240,54,business,single,graduate,1,45225,retired,0,27,0,606,0.01,education,11.96,property,bad,not eligible
64,male,skilled,little,little,30680,59,other,single,high school,0,36187,employed,1,12,1,559,0.01,business,13.49,property,bad,not eligible
25,male,self-employed,little,little,13602,21,domestic appliances,single,graduate,0,145313,employed,0,17,0,,0,business,8.34,none,bad,not eligible
,male,skilled,quite rich,moderate,15857,17,other,widowed,postgraduate,1,20729,self-employed,3,25,0,730,0.04,education,9.86,none,good,eligible
66,female,,moderate,little,48881,13,other,single,high school,,22549,self-employed,2,1,0,348,0.17,personal,16.22,guarantor,bad,not eligible
61,male,skilled,quite rich,little,30755,26,domestic appliances,single,graduate,1,48013,retired,2,13,1,740,0.02,personal,10.15,none,bad,not eligible
36,male,self-employed,moderate,little,36594,53,business,single,graduate,1,34347,employed,2,16,1,545,0.02,mortgage,12.59,none,bad,not eligible
59,female,management,little,moderate,25721,13,repairs,married,high school,2,74772,employed,1,22,0,751,0.03,education,6.72,vehicle,bad,not eligible
58,female,skilled,little,,1219,33,business,single,graduate,0,50378,,0,22,0,444,0,personal,17.75,none,bad,not eligible
54,male,management,little,moderate,18406,15,car,,graduate,0,11998,employed,0,0,0,546,0.1,mortgage,16.06,property,bad,not eligible
23,female,skilled,quite rich,little,23640,57,other,married,,1,122172,self-employed,1,21,0,660,0,personal,16.41,none,bad,not eligible
69,female,skilled,rich,little,,20,furniture,married,graduate,0,124100,employed,0,10,0,315,0,mortgage,7.67,none,bad,not eligible
43,female,unskilled,moderate,little,8249,9,repairs,married,postgraduate,2,125400,unemployed,0,13,0,689,0.01,car,12.43,none,bad,not eligible
51,male,skilled,little,,13435,67,education,married,phd,0,37737,self-employed,1,11,0,647,0.01,personal,5.41,none,bad,not eligible
62,female,,little,little,38155,9,radio/TV,married,graduate,2,48514,retired,2,22,1,580,0.09,education,9.73,none,bad,not eligible
23,male,self-employed,little,little,44535,46,education,married,postgraduate,0,133549,employed,,13,0,444,0.01,education,10.22,vehicle,bad,not eligible
54,male,skilled,moderate,rich,31220,60,domestic appliances,married,high school,2,60232,employed,1,16,0,345,0.01,business,18.71,guarantor,bad,not eligible
50,male,self-employed,,moderate,28437,33,radio/TV,,graduate,1,104766,self-employed,1,11,0,762,0.01,car,19.89,property,bad,not eligible
39,male,skilled,rich,,19040,52,repairs,married,high school,1,20461,employed,0,5,,669,0.02,car,14.27,none,bad,not eligible
38,male,skilled,little,little,8444,,car,,high school,1,92394,self-employed,0,25,0,606,0.01,,12.75,,bad,not eligible
23,female,skilled,rich,rich,49202,7,other,single,graduate,1,19323,self-employed,1,8,0,701,0.36,mortgage,11.6,property,bad,not eligible
,,unskilled,quite rich,moderate,13247,53,other,divorced,graduate,3,47040,employed,1,11,0,793,0.01,business,5.27,none,bad,eligible
65,male,skilled,quite rich,little,11005,33,education,married,graduate,0,149750,,2,16,1,831,0,car,,none,bad,not eligible
21,male,unskilled,moderate,moderate,46717,19,,married,graduate,3,95028,employed,1,15,0,642,0.03,car,15.08,vehicle,bad,not eligible
47,male,skilled,moderate,moderate,12197,51,car,divorced,graduate,0,102734,unemployed,3,1,1,432,0,education,14.74,property,bad,eligible
28,female,skilled,moderate,moderate,37407,18,repairs,widowed,graduate,0,100896,employed,1,17,0,811,,education,17.14,guarantor,bad,not eligible
47,male,management,moderate,little,15721,21,education,married,high school,3,95793,self-employed,0,15,0,617,0.01,,18.92,vehicle,bad,not eligible
,male,unskilled,moderate,little,7587,45,education,married,graduate,0,86699,self-employed,2,9,0,567,0,personal,10.84,none,bad,not eligible
41,male,unskilled,rich,little,21962,35,repairs,married,high school,1,114835,employed,0,18,0,523,0.01,mortgage,11.4,property,bad,not eligible
26,male,skilled,quite rich,rich,23289,70,repairs,single,graduate,1,94321,retired,0,29,0,301,0,personal,19.63,none,bad,not eligible
20,male,self-employed,,moderate,33900,63,radio/TV,,high school,1,127004,unemployed,1,3,0,540,0,business,14.97,none,bad,not eligible
68,female,management,quite rich,little,2699,53,domestic appliances,married,high school,1,132297,self-employed,0,6,0,416,0,car,17.77,property,bad,not eligible
48,female,skilled,little,rich,47816,54,domestic appliances,single,graduate,2,27585,employed,0,15,1,848,0.03,mortgage,8.32,vehicle,bad,not eligible
57,male,skilled,little,rich,44523,7,repairs,single,graduate,0,105781,employed,1,18,,736,0.06,personal,9.76,vehicle,bad,not eligible
54,female,unskilled,moderate,,22237,19,business,single,graduate,1,125318,employed,1,22,,610,0.01,business,10.87,property,bad,not eligible
53,female,self-employed,moderate,rich,6573,22,,single,high school,0,127273,employed,0,4,1,515,0,mortgage,9.75,none,good,eligible
41,female,skilled,quite rich,rich,17244,36,other,widowed,graduate,2,16968,employed,0,4,0,516,0.03,car,18.26,none,good,eligible
48,male,,moderate,little,11059,15,domestic appliances,married,postgraduate,0,77249,self-employed,0,22,,,0.01,business,12.67,none,bad,not eligible
23,male,skilled,moderate,moderate,33195,42,furniture,married,postgraduate,1,46119,employed,1,22,0,377,0.02,education,19.3,guarantor,bad,not eligible
19,male,unskilled,moderate,moderate,49365,69,repairs,widowed,graduate,0,116397,retired,0,6,0,418,0.01,car,9.82,property,bad,not eligible
37,female,self-employed,little,little,8901,35,repairs,divorced,high school,0,23100,employed,1,24,0,729,0.01,,5.56,property,bad,not eligible
45,female,unskilled,moderate,little,,39,radio/TV,married,graduate,0,52794,employed,0,16,0,618,0.01,business,7.07,vehicle,bad,not eligible
28,male,skilled,quite rich,rich,42390,23,repairs,,high school,2,114519,employed,0,0,0,506,0.02,business,8.26,property,bad,not eligible
21,male,unskilled,little,little,14394,68,radio/TV,married,high school,1,58121,retired,1,2,0,621,,education,14.6,property,bad,not eligible
32,female,management,moderate,rich,29660,54,business,single,high school,0,19143,employed,5,15,0,303,0.03,personal,7.72,none,bad,not eligible
23,female,management,moderate,little,29772,61,business,single,postgraduate,,69376,employed,1,21,0,476,0.01,business,10.72,none,bad,not eligible
66,female,skilled,little,little,25012,63,repairs,married,graduate,1,93144,self-employed,0,1,0,648,0,mortgage,16.93,vehicle,bad,not eligible
47,female,skilled,little,little,34145,,car,married,graduate,1,116528,employed,0,24,0,609,0.01,mortgage,6.87,none,bad,not eligible
55,male,management,rich,little,47043,60,radio/TV,married,graduate,0,92016,unemployed,1,0,0,379,0.01,business,6.21,vehicle,bad,not eligible
68,male,unskilled,little,,21679,24,radio/TV,married,high school,0,140604,employed,1,29,1,343,0.01,education,13.1,vehicle,bad,not eligible
19,female,skilled,little,moderate,11191,28,furniture,single,graduate,0,88737,employed,1,20,0,782,0,education,15.47,vehicle,bad,not eligible
32,male,unskilled,little,little,16610,52,car,single,graduate,0,,employed,1,6,0,752,0,car,18.66,none,bad,not eligible
28,male,self-employed,moderate,little,35791,71,car,married,graduate,0,139940,self-employed,2,9,0,498,0,education,14.93,none,bad,not eligible
25,female,skilled,moderate,little,45811,56,domestic appliances,single,postgraduate,5,102889,self-employed,,2,0,507,0.01,,19.19,none,bad,not eligible
43,male,management,moderate,little,30345,33,business,married,high school,2,87006,employed,0,29,0,493,0.01,personal,8.67,vehicle,bad,not eligible
68,female,skilled,little,moderate,39538,62,domestic appliances,married,postgraduate,0,105133,employed,0,17,0,311,0.01,mortgage,10.13,vehicle,bad,not eligible
62,male,unskilled,quite rich,little,25467,63,other,married,graduate,1,40090,,0,28,0,688,0.01,business,17.59,,bad,not eligible
61,female,unskilled,little,little,28978,20,car,single,graduate,0,35476,employed,2,2,0,425,0.04,mortgage,17.17,none,bad,not eligible
22,male,skilled,little,little,5588,21,repairs,married,graduate,0,74004,,2,27,0,647,0,business,14.97,vehicle,bad,not eligible
23,male,,moderate,little,40832,52,furniture,married,postgraduate,0,84469,employed,1,6,0,371,0.01,mortgage,12.59,none,bad,not eligible
43,female,,little,little,7566,68,repairs,widowed,high school,0,,employed,3,14,0,739,0,business,5.27,guarantor,bad,not eligible
21,male,unskilled,quite rich,little,39813,17,repairs,married,graduate,1,135494,employed,0,0,0,601,0.02,business,9.21,none,bad,not eligible
